"_id","_labels","abbreviation","availability","capability","characteristic","comparison","description","division","examples","focus","function","id","interpretation","mentalStates","number","open-source","publication","purportedNecessaryConditions","purpose","quantity","tomAccuracy","tomAccuracyIn-context","tomAccuracyZero-shot","year","_start","_end","_type"
"0",":Concept","","","","","","","","","","","Urbanization","","","","","","","","","","","","",,,
"1",":Concept","","","","","","","","","","","Signal Control Problem","","","","","","","","","","","","",,,
"2",":Document","","","","","","","","","","","Paper","","","","","","","","","","","","",,,
"3",":Concept","","","","","","","","","","","Methods","","","","","","","","","","","","",,,
"4",":Concept","","","","","","","","","","","Agents","","","","","","","","","","","","",,,
"5",":Concept","","","","","","","","","","","Average Travel Time","","","","","","","","","","","","",,,
"6",":Concept","","","","","","","","","","","Datasets","","","2","","","","","","","","","",,,
"7",":Concept","","","","","","","","","","","Results","","","","","","","","","","","","",,,
"8",":Concept","","","","","","","","","","","Large Language Model","","","","","","","","","","","","",,,
"9",":Concept","","","","","","","","","","","Metrics","","","","","","","","","","","","",,,
"10",":Concept","","","","","","","","","","","Experiments","","","","","","","","","","","","",,,
"11",":Concept","","","","","","","","","","","Human Interactions","","","","","","","","","","","","",,,
"12",":Concept","","","","","","","","","","","Theory Of Mind","","","","","","","","","","","","",,,
"13",":Concept","","","","","","","","","","","Large Language Models","","","","","","","","","","","","",,,
"14",":Concept","","","","","","","","","","","Simulation Theory","","","","","","","","","","","","",,,
"15",":Concept","","","","","","","","","","","Simtom","","","","","","","","","","","","",,,
"16",":Concept","","","","","","","","","","","Chain-Of-Thought","","","","","","","","","","","","",,,
"17",":Software","","","","","","","","","","","Beliefnest","","","","true","","","","","","","","",,,
"18",":Concept","","","","","","","","","","","Embodied Agents","","","","","","","","","","","","",,,
"19",":Environment","","","","","","","","","","","Minecraft Environment","","","","","","","","","","","","",,,
"20",":Task","","","","","","","","","","","False-Belief Tasks","","","","","","","","","","","","",,,
"21",":Concept","","","","","","","","","","","Timetom","","","","","","","improve Theory of Mind capabilities of Large Language Models","","","","","",,,
"22",":Concept","","","","","","","self-world beliefs and social world beliefs","","","","Temporal Belief State Chain","","","","","","","","","","","","",,,
"23",":Concept","","","","","","","","","","transform a character's higher-order beliefs into another character's first-order beliefs","Tool-Belief Solver","","","","","","","","","","","","",,,
"24",":Concept","","","","","","","","","","","Emotional Support Systems","","","","","","","","","","","","",,,
"25",":Person","","","","","","","","","","","Users","","","","","","","","","","","","",,,
"26",":Concept","Mind2","","","","","","","","","","Mind-To-Mind","","","","","","","","","","","","",,,
"27",":Concept","","","","","","","","","","","Cognitive Models","","","","","","","","","","","","",,,
"28",":Concept","","","","","","","","","","","Theory-Of-Mind","","","","","","","","","","","","",,,
"29",":Concept","","","","","","","","","","","Physiological Expected Utility","","","","","","","","","","","","",,,
"30",":Concept","","","","","","","","","","","Cognitive Rationality","","","","","","","","","","","","",,,
"31",":Concept","","","","","","","","","","","State-Of-The-Art Es Systems","","","","","","","","","","","","",,,
"32",":Concept","","","","","","","","","","","Cognitive Model Of Epistemic Language Interpretation","","","","","","","","","","","","",,,
"33",":Concept","","","","","","","","","","","Bayesian Inferences","","","","","","","","","","","","",,,
"34",":Concept","","","","","","","","","","","Language-Augmented Bayesian Theory-Of-Mind (Labtom)","","","","","","","","","","","","",,,
"35",":Concept","","","","","","","","","","","Natural Language","","","","","","","","","","","","",,,
"36",":Concept","","","","","","","","","","","Epistemic Language-Of-Thought","","","","","","","","","","","","",,,
"37",":Concept","","","","","","","","","","","Grammar-Constrained Llm Decoding","","","","","","","","","","","","",,,
"38",":Concept","","","","","","","","","","","Generative Model Of Rational Action And Perception","","","","","","","","","","","","",,,
"39",":Concept","","","","","","","","","","","Graded Plausibility Judgments Of Epistemic Claims","","","","","","","","","","","","",,,
"40",":Event","","","","","","","","","","","Experiment","","","","","","","","","","","","",,,
"41",":Person","","","","","","","","","","","Participants","","","","","","","","","","","","",,,
"42",":Person","","","","","","","","","","","Agent","","","","","","","","","","","","",,,
"43",":Object","","","","","","","","","","","Maze","","","","","","","","","","","","",,,
"44",":Object","","","","","","","","","","","Keys","","","","","","","","","","","","",,,
"45",":Object","","","","","","","","","","","Boxes","","","","","","","","","","","","",,,
"46",":Concept","","","","","","","","","","","Goal","","","","","","","","","","","","",,,
"47",":Concept","","","","","","","","","","","Sentences About The Agent'S Beliefs","","","","","","","","","","","","",,,
"48",":Concept","","","","","","","","","","","Multimodal Llms (Gpt-4O, Gemini Pro)","","","","","","","","","","","","",,,
"49",":Concept","","","","","","","","","","","Ablated Models","","","","","","","","","","","","",,,
"50",":Concept","","","","","","","","","","","Human Judgments","","","","","","","","","","","","",,,
"51",":Concept","","","","","","","","","","","Modal Language","","","","","","","","","","","","",,,
"52",":Concept","","","","","","","","","","","Uncertainty Expressions","","","","","","","","","","","","",,,
"53",":Concept","","","","","","","","","","","Knowledge Claims","","","","","","","","","","","","",,,
"54",":Concept","","","","","","","","","","","Likelihood Comparisons","","","","","","","","","","","","",,,
"55",":Concept","","","","","","","","","","","Attributions Of False Belief","","","","","","","","","","","","",,,
"56",":Entity","","","","","","","","","","","Humans","","","","","","","","","","","","",,,
"57",":Concept","","","","","","","","","","","Daily Conversations","","","","","","","","","","","","",,,
"58",":Entity","","","","","","","","","","","Large Generative Language Models","","","","","","","","","","","","",,,
"59",":Concept","","","","","","","","","","","Minddial","","","","","","","","","","","","",,,
"60",":Concept","","","","","","","","","","","Mind Module","","","","","","","","","","","","",,,
"61",":Concept","","","","","","","","","","","Prompting And Fine-Tuning-Based Models","","","","","","","","","","","","",,,
"62",":Event","","","","","","","","","","","Experiments","","","","","","","","","","","","",,,
"63",":Event","","","","","","","","","","","Ablation Study","","","","","","","","","","","","",,,
"64",":Concept","","","","","","","","","","","Mind Modeling","","","","","","","","","","","","",,,
"65",":Concept","","","","","","","","","","","Three-Level Belief Design","","","","","","","","","","","","",,,
"66",":Concept","","","","","","","","","","","Llms","","","","","","","","","","","","",,,
"67",":Concept","","","","","","","","","","","Natural Language Reasoning","","","","","","","","","","","","",,,
"68",":Concept","","","","","","","","","","","Human Performance","","","","","","","","","","","","",,,
"69",":Concept","","","","","","","","","","","Classification Tasks","","","","","","","","","","","","",,,
"70",":Concept","","","","","","","","","","","Social-Cognitive Reasoning","","","","","","","","","","","","",,,
"71",":Concept","","","","","","","","","","","Prompting","","","","","","","","","","","","",,,
"72",":Concept","","","","","","","","","","","Specific Llms","","","","","","","","","","","","",,,
"73",":Concept","","","","","","","","","","","Role-Playing Prompting","","","","","","","","","","","","",,,
"74",":Concept","","","","","","","","","","","Theory-Of-Mind (Tom) Reasoning","","","","","","","","","","","","",,,
"75",":Concept","","","","","","","","","","","Psychological Theory","","","","","","","","","","","","",,,
"76",":Concept","","","","","","","","","","","Reasoning Tasks","","","","","","","","","","","","",,,
"77",":Concept","","","","","","","","","","","Socially-Motivated Prompting","","","","","","","","","","","","",,,
"78",":Concept","","","","","","","","","","","Prompt Engineering","","","","","","","","","","","","",,,
"79",":Concept","","","","","","","","","","","Role-Play","","","","","","","","","","","","",,,
"80",":Concept","","","","","","","","","","","Personas","","","","","","","","","","","","",,,
"81",":Concept","","","","","","","","","","","Errors","","","","","","","","","","","","",,,
"82",":Concept","","","","","","","","","","","Differences","","","","","","","","","","","","",,,
"83",":Concept","","","","","","","","","","","Research","","","","","","","","","","","","",,,
"84",":Concept","","","","","","","","","","","Performance Differences","","","","","","","","","","","","",,,
"85",":Concept","","","","","","","","","","","Models","","","","","","","","","","","","",,,
"86",":Person","","","","","","","","","","","Computer Scientists","","","","","","","","","","","","",,,
"87",":Concept","","","","","","","","","","","Belief","","","","","","","","","","","","",,,
"88",":Concept","","","","","","","","","","","Decision Theory","","","","","","","","","","","","",,,
"89",":Concept","","","","","","","","","","","Formal Epistemology","","","","","","","","","","","","",,,
